附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
罗渡溪,60744900,渠江,广安市,渠江,38064,雨量水位流量泥沙,岳池县罗渡镇,106,35,,30,21,,长委上游水文局,,F,
紫坪铺(三),,青衣江和岷江干流,成都市,岷江,22664,雨量水位流量泥沙,灌县白沙乡紫坪铺,103,34,,31,2,,成都勘测设计院,,F,
下坝,60407720,石鼓以下干流,毕节地区,北门河,17,雨量水位流量,贵州省威宁城关乡下坝村,104,16,,26,53,,毕节水文局,,F,
赤水河,60506200,赤水河,毕节地区,秦淮河,3141,雨量水位流量泥沙,贵州省毕节市高山乡赤水河,105,35,,27,44,,毕节水文局,,F,
茅台(二),60506350,赤水河,遵义市,赤水河,8003,蒸发雨量水位流量,贵州省仁怀市茅台镇酒厂,106,21,,27,51,,遵义水文局,,F,
赤水,60506800,赤水河,遵义市,赤水河,16622,蒸发雨量水位流量泥沙,贵州省赤水县文华乡盐井村,105,41,,28,35,,遵义水文局,,F,
二朗坝,60507300,赤水河,遵义市,牛渡河,3149,蒸发雨量水位流量泥沙,贵州省二郎坝乡巴滩村,106,20,,28,9,,遵义水文局,,F,
桐梓,60507500,赤水河,遵义市,官渡河,458,蒸发雨量水位,贵州省桐梓县娄山贺家湾村,106,49,,28,7,,遵义水文局,,F,
松坎(三),60510000,宜宾至宜昌干流,遵义市,松坎河,639,蒸发雨量水位流量,贵州省桐梓县松坎乡泥石磅,106,52,,28,32,,遵义水文局,,F,
鸭池河,60800200,思南以上,贵阳市,乌江,18187,蒸发雨量水位流量泥沙,贵州省清镇市鸭池河公社,106,5,,26,46,,贵阳市水文局,,F,
乌江渡(二),60800500,思南以上,遵义市,乌江,27838,蒸发雨量水位流量泥沙,贵州省遵义县乌江公社,106,48,,27,19,,遵义水文局,,F,
江界河,60800900,思南以上,黔南布依族苗族自治州,乌江,42306,蒸发雨量水位流量,贵州省瓮安县平坝公社,107,24,,27,20,,黔南州水文局,,F,
思南,60801500,思南以上,铜仁地区,乌江,51270,蒸发雨量水位流量泥沙,贵州省思南县城关,108,15,,26,56,,铜仁水文局,,F,
向阳(二),60803400,思南以上,六盘水市,白泥河,855,蒸发雨量水位流量,贵州省水城县汪家寨镇,104,48,,26,42,,六盘水水文局,,F,
阳长,60803510,思南以上,毕节地区,三岔河,2560,蒸发雨量水位流量泥沙,贵州省纳雍县阳长公社,105,10,,26,39,,毕节水文局,,F,
龙场桥(三岔河),60803550,思南以上,安顺市,三岔河,4237,蒸发雨量水位流量,贵州省普定县龙戛公社,105,43,,26,23,,安顺水文局,,F,
徐家渡,60803900,思南以上,安顺市,三岔河,6515,蒸发雨量水位流量,贵州省平坝县齐伯公社,106,9,,26,36,,安顺水文局,,F,
周家洞,60804200,思南以上,毕节地区,六冲河,980,蒸发雨量水位流量泥沙,贵州省赫章县城关镇,104,42,,27,8,,毕节水文局,,F,
七星关,60804300,思南以上,毕节地区,六冲河,2999,蒸发雨量水位流量,贵州省赫章县七星关公社,104,57,,27,9,,毕节水文局,,F,
瓜仲河,60804350,思南以上,毕节地区,六冲河,4611,蒸发雨量水位,贵州省纳雍县化作乡野鸡落村,105,24,,26,51,,毕节水文局,,F,
洪家渡,60804400,思南以上,毕节地区,六冲河,9456,蒸发雨量水位流量泥沙,贵州省黔西县沙窝区寄种乡,105,51,,26,54,,毕节水文局,,F,
徐花屯,60804600,思南以上,毕节地区,落脚河,81.8,蒸发雨量水位流量,贵州省毕节市大桥公社,105,15,,27,20,,毕节水文局,,F,
对江,60804800,思南以上,毕节地区,落脚河,1944,蒸发雨量水位流量,贵州省大方县对江公社,105,33,,27,7,,毕节水文局,,F,
响水,60804900,思南以上,毕节地区,响水河,486,蒸发雨量水位流量,贵州省大方县响水乡响水村,105,30,,27,16,,毕节水文局,,F,
织金,60805000,思南以上,毕节地区,六冲河,66.4,蒸发雨量水位流量,贵州省织金县东山公社,105,46,,26,41,,毕节水文局,,F,
平寨,60805200,思南以上,安顺市,小关口河,323,蒸发雨量水位,贵州省安顺地区西秀区旧州公社平寨,106,10,,26,16,,安顺水文局,,F,
黄猫村(二),60805400,思南以上,安顺市,羊昌河,759,蒸发雨量水位流量,贵州省平坝县歌乐公社,106,20,,26,24,,安顺水文局,,F,
七眼桥,60805500,思南以上,安顺市,小关口河,27.5,蒸发雨量水位流量,贵州省安顺地区二铺公社,106,4,,26,18,,安顺水文局,,F,
狮子石,60806300,思南以上,贵阳市,猫跳河,2823,蒸发雨量水位流量泥沙,贵州省清镇县青龙公社,106,26,,26,52,,贵阳市水文局,,F,
老郎寨,60806500,思南以上,安顺市,麻线河,201,蒸发雨量水位流量泥沙,贵州省平坝县歌乐公社,106,22,,26,23,,安顺水文局,,F,
麦翁(二),60806600,思南以上,安顺市,桃花园河,189,蒸发雨量水位流量,贵州省平坝县九甲公社,106,19,,26,31,,安顺水文局,,F,
修文,60806700,思南以上,贵阳市,猫跳河,196,蒸发雨量水位流量泥沙,贵州省修文县王官公社,106,33,,26,49,,贵阳市水文局,,F,
石板塘,60806750,思南以上,毕节地区,野纪河,2109,蒸发雨量水位流量泥沙,贵州省黔西县永公社,106,14,,27,7,,毕节水文局,,F,
平桥,60807000,思南以上,毕节地区,皮甲河,597,蒸发雨量水位流量泥沙,贵州省黔西县城关镇,106,5,,27,0,,毕节水文局,,F,
木孔,60807400,思南以上,毕节地区,偏岩河,999,蒸发雨量水位流量,贵州省金沙县木孔乡新江村,106,31,,27,28,,毕节水文局,,F,
石牛口,60807500,思南以上,毕节地区,偏岩河,2182,蒸发雨量水位流量泥沙,贵州省金沙县官田公社,106,42,,27,23,,毕节水文局,,F,
湄潭(二),60807800,思南以上,遵义市,湄江,950,蒸发雨量水位流量泥沙,贵州省湄潭县协育公社,107,28,,27,45,,遵义水文局,,F,
鲤鱼塘,60808000,思南以上,遵义市,湘江,4780,蒸发雨量水位流量泥沙,贵州省遵义县铁厂公社,107,16,,27,26,,遵义水文局,,F,
长河坝(三),60808100,思南以上,遵义市,洛安江,483,蒸发雨量水位流量,贵州省遵义县绿塘公社,107,12,,27,48,,遵义水文局,,F,
湘江,60808200,思南以上,遵义市,湘江,554,蒸发雨量水位流量,贵州省遵义县长征公社老鹰岩,106,56,,27,41,,遵义水文局,,F,
营盘(二),60808400,思南以上,遵义市,湘江,1548,蒸发雨量水位流量,贵州省遵义县虾子区乐安公社,107,9,,27,41,,遵义水文局,,F,
观音阁,60808500,思南以上,遵义市,喇叭河,111,蒸发雨量水位流量泥沙,贵州省遵义县高桥镇庙脚村,106,55,,27,43,,遵义水文局,,F,
九节滩,60808600,思南以上,遵义市,高坪河,103,蒸发雨量水位流量,贵州省遵义县长征公社茅草铺村,106,55,,27,45,,遵义水文局,,F,
高桥,60808700,思南以上,遵义市,高桥河,22.4,蒸发雨量水位流量,贵州省遵义县高桥公社合兴村,106,54,,27,42,,遵义水文局,,F,
洞头,60808900,思南以上,贵阳市,洛旺河,6197,蒸发雨量水位流量泥沙,贵州省开阳县花梨公社,106,55,,27,2,,贵阳市水文局,,F,
贵阳(三),60809500,思南以上,贵阳市,南明河,753,蒸发雨量水位流量,贵州省贵阳市南明区兴华路兴隆公社,106,44,,26,35,,贵阳市水文局,,F,
下湾,60809700,思南以上,黔南布依族苗族自治州,独木河,1433,蒸发雨量水位流量,贵州省贵定县盘江公社,107,10,,26,32,,黔南州水文局,,F,
龙里,60809800,思南以上,黔南布依族苗族自治州,打草河,221,蒸发雨量水位流量,贵州省龙里县,106,57,,26,25,,黔南州水文局,,F,
余庆(二),60810050,思南以上,遵义市,余庆河,560,蒸发雨量水位,贵州省余庆县红旗公社,107,53,,27,15,,遵义水文局,,F,
凤冈,60810300,思南以上,遵义市,龙潭河,149,蒸发雨量水位流量,贵州省风冈县龙泉乡文峰村,107,43,,27,59,,遵义水文局,,F,
石阡,60810400,思南以上,铜仁地区,石阡河,719,蒸发雨量水位流量泥沙,贵州省石阡县城关万安公社,108,13,,27,31,,铜仁水文局,,F,
印江,60810800,思南以下,铜仁地区,印江河,694,蒸发雨量水位流量,贵州省印江县峨岭镇新寨村,108,23,,28,1,,铜仁水文局,,F,
官坝,60811300,思南以下,遵义市,丰乐河,1297,蒸发雨量水位流量泥沙,贵州省务川县平乐公社官坝渡,107,56,,28,24,,遵义水文局,,F,
江滨,60811400,思南以下,遵义市,洪渡河,2479,蒸发雨量水位流量,贵州省务川县大平公社,107,56,,28,36,,遵义水文局,,F,
旺草,60811800,思南以下,遵义市,芙蓉江,413,蒸发雨量水位流量,贵州省绥阳县旺草公社,107,16,,28,6,,遵义水文局,,F,
银水寺,60811900,思南以下,遵义市,芙蓉江,1278,蒸发雨量水位流量泥沙,贵州省绥阳县募坝公社,107,23,,28,13,,遵义水文局,,F,
长坝,60812000,思南以下,遵义市,芙蓉江,5454,蒸发雨量水位流量泥沙,贵州省道真县长坝公社,107,41,,28,48,,遵义水文局,,F,
正安(沿渡河),60812500,思南以下,遵义市,芙蓉江,1479,蒸发雨量水位流量泥沙,贵州省正安县泥坝公社,107,27,,28,34,,遵义水文局,,F,
五家院子,60812600,思南以下,遵义市,梅江,1230,蒸发雨量水位流量,贵州省道真县土城公社,107,41,,28,54,,遵义水文局,,F,
施洞,61300200,沅江浦市镇以上,黔东南苗族侗族自治州,清水江,6039,蒸发雨量水位流量泥沙,贵州省台江县施洞区,108,20,,26,51,,黔东南州水文局,,F,
锦屏(二),61300410,沅江浦市镇以上,黔东南苗族侗族自治州,清水江,13483,蒸发雨量水位流量,贵州省锦屏县城关,109,12,,26,41,,黔东南州水文局,,F,
文峰塔,61303100,沅江浦市镇以上,黔南布依族苗族自治州,马尾河,448,蒸发雨量水位,贵州省都匀市新城公社文峰塔,107,31,,26,15,,黔南州水文局,,F,
下司(二),61303300,沅江浦市镇以上,黔东南苗族侗族自治州,马尾河,2154,蒸发雨量水位流量泥沙,贵州省麻江县下司区,107,48,,26,31,,黔东南州水文局,,F,
湾水,61303500,沅江浦市镇以上,黔东南苗族侗族自治州,重安江,2603,蒸发雨量水位流量泥沙,贵州省凯里县湾水公社,107,59,,26,45,,黔东南州水文局,,F,
福泉,61303600,沅江浦市镇以上,黔东南苗族侗族自治州,后河,63.7,蒸发雨量水位流量,贵州省福泉县城关镇,107,31,,26,43,,黔南州水文局,,F,
南花,61303700,沅江浦市镇以上,黔东南苗族侗族自治州,巴拉河,463,蒸发雨量水位流量,贵州省凯里市平乐公社南花村,108,5,,26,31,,黔东南州水文局,,F,
南哨,61303800,沅江浦市镇以上,黔东南苗族侗族自治州,南哨河,1161,蒸发雨量水位,贵州省剑河县南哨公社,108,36,,26,31,,黔东南州水文局,,F,
六洞桥,61304000,沅江浦市镇以上,黔东南苗族侗族自治州,六洞河,788,蒸发雨量水位流量,贵州省三惠县桐林公社,108,51,,26,57,,黔东南州水文局,,F,
旧州,61304900,沅江浦市镇以上,黔东南苗族侗族自治州,许水河,292,蒸发雨量水位流量,贵州省黄平县旧州乡老里坝村,107,46,,26,59,,黔东南州水文局,,F,
皂角屯,61305000,沅江浦市镇以上,黔东南苗族侗族自治州,阳河,1698,蒸发雨量水位,贵州省施秉县平宁公社皂角屯,108,10,,27,3,,黔东南州水文局,,F,
大菜园,61305100,沅江浦市镇以上,黔东南苗族侗族自治州,阳河,2200,蒸发雨量水位流量泥沙,贵州省镇远县城关大菜园,108,24,,27,4,,黔东南州水文局,,F,
崇滩,61305300,沅江浦市镇以上,铜仁地区,阳河,5055,蒸发雨量水位流量泥沙,贵州省玉屏县城关,108,55,,27,15,,铜仁水文局,,F,
岑巩,61305910,沅江浦市镇以上,黔东南苗族侗族自治州,龙江,1255,蒸发雨量水位流量,贵州省岑巩县小堡公社车边村,108,41,,27,15,,黔东南州水文局,,F,
芦家洞(铜仁),61309900,沅江浦市镇以上,铜仁地区,锦江,3346,蒸发雨量水位流量泥沙,贵州省铜仁县龙塔公社芦家洞,109,14,,27,43,,铜仁水文局,,F,
两河口(吴家寨),61310600,沅江浦市镇以上,铜仁地区,小江,1318,蒸发雨量水位流量泥沙,贵州省铜仁县两河口,108,57,,27,46,,铜仁水文局,,F,
松桃,61314100,沅江浦市镇以下,铜仁地区,松桃河,948,蒸发雨量水位流量,贵州省松桃县城关镇石板滩,109,12,,28,11,,铜仁水文局,,F,
上桥头(三),60201800,直门达至石鼓,迪庆藏族自治州,交界河,2432,水位流量泥沙,云南省中甸县尼西乡上桥头,99,24,,28,10,,云南省水文水资源局,,F,
塔城(二),60201900,直门达至石鼓,迪庆藏族自治州,腊普河,724,水位流量泥沙,云南省维西县塔城乡塔城村,99,24,,27,36,,云南省水文水资源局,,F,
来远桥,60202000,直门达至石鼓,丽江县,冲江河,995,水位流量泥沙,云南省丽江县石鼓镇新兴村,99,56,,26,52,,云南省水文水资源局,,F,
下桥头,60202100,直门达至石鼓,迪庆藏族自治州,硕多岗河,1920,水位流量泥沙,云南省中甸县虎跳峡镇下桥头,100,3,,27,11,,云南省水文水资源局,,F,
总管田,60202200,石鼓以下干流,丽江市,五郎河,2083,雨量水位流量泥沙,云南省永胜县金官镇总管田,100,34,,26,48,,云南省水文水资源局,,F,
鹤庆,60202400,石鼓以下干流,大理白族自治州,漾弓江,1210,雨量水位流量泥沙,云南省鹤庆县金墩乡河东村,100,13,,26,30,,云南省水文水资源局,,F,
黄坪,60202500,石鼓以下干流,大理白族自治州,落漏河,829,水位流量泥沙,云南省鹤庆县黄坪乡新城村,100,22,,26,5,,云南省水文水资源局,,F,
大惠庄,60202700,石鼓以下干流,大理白族自治州,桑园河,1567,水位流量泥沙,云南省宾川县力角乡大惠庄村,100,33,,25,57,,云南省水文水资源局,,F,
地索(二),60203200,石鼓以下干流,楚雄彝族自治州,渔泡江,1954,水位流量泥沙,云南省姚安县左门乡咪白么村,101,0,,25,41,,云南省水文水资源局,,F,
仁里(二),60203350,石鼓以下干流,丽江市,马过河,853,蒸发雨量水位流量泥沙,云南省永胜县仁和镇盐水沟村,101,0,,26,29,,云南省水文水资源局,,F,
中和街(二),60203450,石鼓以下干流,楚雄彝族自治州,万马河,528,水位流量泥沙,云南省永仁县中和乡中和街,101,25,,26,10,,云南省水文水资源局,,F,
石龙坝,60203600,石鼓以下干流,丽江市,新庄河,909,蒸发雨量水位流量泥沙,云南省华坪县石龙坝乡,101,22,,26,36,,云南省水文水资源局,,F,
庄房(二),60301700,雅砻江,丽江市,宁蒗河,839,水位流量泥沙,云南省宁蒗县大兴镇,100,52,,27,17,,云南省水文水资源局,,F,
楚雄小河口(二),60400900,石鼓以下干流,楚雄彝族自治州,龙川江,1788,蒸发雨量水位流量泥沙,云南省楚雄市永安乡小河口,101,34,,25,3,,云南省水文水资源局,,F,
小黄瓜园,60401000,石鼓以下干流,楚雄彝族自治州,龙川江,5560,蒸发雨量水位流量泥沙,云南省元谋县黄瓜园镇小黄瓜园,101,52,,25,50,,云南省水文水资源局,,F,
多克(二),60401300,石鼓以下干流,楚雄彝族自治州,蜻蛉河,2855,水位流量泥沙,云南省元谋县物茂乡多克村,101,46,,25,51,,云南省水文水资源局,,F,
海口(大烟囱),60402250,石鼓以下干流,昆明市,海口河,2920,水位流量泥沙,云南省昆明市海口镇大烟囱,102,34,,24,47,,云南省水文水资源局,,F,
蔡家村,60402600,石鼓以下干流,昆明市,普渡河,5163,蒸发雨量水位流量泥沙,云南省昆明市谷律乡蔡家村,102,26,,25,10,,云南省水文水资源局,,F,
小河(桥上),60403600,石鼓以下干流,昆明市,小河,373,蒸发雨量水位流量泥沙,云南省昆明市小河乡小河村,102,50,,25,12,,云南省水文水资源局,,F,
四营,60405185,石鼓以下干流,昆明市,车洪江,1024,水位流量泥沙,云南省嵩明县四营乡新桥村,103,9,,25,17,,云南省水文水资源局,,F,
七星桥,60405200,石鼓以下干流,昆明市,牛栏江,2549,蒸发雨量水位流量泥沙,云南省寻甸县七星乡桥头村,103,19,,25,33,,云南省水文水资源局,,F,
黄梨树(二),60405300,石鼓以下干流,曲靖市,牛栏江,7035,蒸发雨量水位流量泥沙,云南省会泽县大井乡黄梨树村,103,44,,26,30,,云南省水文水资源局,,F,
小河,60405400,石鼓以下干流,昭通市,牛栏江,12696,水位流量泥沙,云南省巧家县小河乡坝统,103,12,,27,13,,云南省水文水资源局,,F,
新华,60405900,石鼓以下干流,昭通市,大汶溪河,324,水位流量泥沙,云南省绥江县田坝乡田坝村,103,57,,28,34,,云南省水文水资源局,,F,
鱼洞(五),60406300,石鼓以下干流,昭通市,居乐河,702,蒸发雨量水位流量泥沙,云南省昭通市乐居乡乐居村,103,33,,27,24,,云南省水文水资源局,,F,
豆沙关,60406700,石鼓以下干流,昭通市,关河,9410,蒸发雨量水位流量泥沙,云南省盐津县豆沙乡石门村,104,8,,28,2,,云南省水文水资源局,,F,
新泉,60406800,石鼓以下干流,昭通市,昭鲁大河,802,蒸发雨量水位流量泥沙,云南省昭通市旧圃镇,103,39,,27,23,,云南省水文水资源局,,F,
马路村,60406850,石鼓以下干流,昭通市,洛泽河,4493,蒸发雨量水位流量泥沙,云南省彝良县角奎镇马路村,104,2,,27,39,,云南省水文水资源局,,F,
牛街,60407200,石鼓以下干流,昭通市,白水江,2838,蒸发雨量水位流量泥沙,云南省彝良县牛街镇,104,29,,27,51,,云南省水文水资源局,,F,
洛甸河,60506100,赤水河,昭通市,洛甸河,726,蒸发雨量水位流量泥沙,云南省镇雄县大湾镇洛甸河,105,2,,27,41,,云南省水文水资源局,,F,
谈家庄,60701400,广元昭化以上,天水市,嘉陵江,6694,雨量流量泥沙,甘肃省徽县嘉陵乡谈家庄,106,12,,33,42,,甘肃省水文局,,F,
新店子,60701800,广元昭化以上,绵阳市,秦淮河,25367,雨量流量泥沙,四川省广元市沙河乡,105,51,,32,35,,四川省水文局,,F,
永宁镇,60704100,广元昭化以上,天水市,永宁河,2071,雨量流量泥沙,甘肃省徽县永宁乡永宁,106,11,,33,50,,甘肃省水文局,,F,
徽县,60704200,广元昭化以上,天水市,罗家河,108,,甘肃省徽县城关镇樊塄村,106,04,,33,47,,甘肃省水文局,,F,
成县,60704300,广元昭化以上,陇南地区,长丰河,1502,雨量流量泥沙,甘肃生成县支旗乡庙湾村,105,45,,33,43,,甘肃省水文局,,F,
镡家坝(二),60704800,广元昭化以上,陇南地区,西汉水,9538,雨量流量泥沙,甘肃省成县镡家坝乡,105,46,,33,35,,甘肃省水文局,,F,
旺苍,60709500,广元昭化以下干流,绵阳市,东河,2710,雨量流量泥沙,四川省旺苍县王峰卸甲碥,106,18,,32,15,,四川省水文局,,F,
碧溪(三),60712100,渠江,达州市,大通河,2124,雨量流量泥沙,四川省通江县碧溪乡二村,107,18,,32,07,,四川省水文局,,F,
赶场(二),60712500,渠江,达州市,神泫河,273,雨量流量,四川省江南县赶场乡二村,106,56,,32,23,,四川省水文局,,F,
武侯镇,61800100,丹江口以上,汉中市,汉江,3092,雨量流量泥沙,勉县武侯镇,106,37,,33,09,,陕西省水文局,,F,
洋县,61800600,丹江口以上,汉中市,汉江,10192,雨量流量泥沙,洋县城关,107,30,,33,13,,陕西省水文局,,F,
石泉(二),61800900,丹江口以上,安康市,汉江,23805,雨量流量泥沙,石泉县城关镇西关街,108,14,,33,02,,陕西省水文局,,F,
安康(二),61801300,丹江口以上,安康市,汉江,41439,雨量流量泥沙,安康市城关镇西关龙头镇,109,00,,32,40,,陕西省水文局,,F,
白河,61801700,丹江口以上,安康市,汉江,59115,雨量流量泥沙,白河县城关镇,110,07,,32,49,,长江委,,F,
铁锁关,61805500,丹江口以上,汉中市,玉带河,433,雨量流量泥沙,宁强县铁锁关乡铁锁关,106,25,,32,53,,陕西省水文局,,F,
茶店子,61805700,丹江口以上,汉中市,沮水河,1683,雨量流量泥沙,勉县茶店子乡沮水坝村,106,29,,33,12,,陕西省水文局,,F,
元墩,61805800,丹江口以上,汉中市,漾家河,449,雨量流量泥沙,勉县元墩乡朱家湾村,106,39,,33,03,,陕西省水文局,,F,
六口,61806000,丹江口以上,安康市,岚河,1749,雨量流量泥沙,岚皋县六口乡六口街,108,54,,33,22,,陕西省水文局,,F,
江口,61806000,丹江口以上,汉中市,褒河,2501,雨量流量泥沙,留坝县江口乡江西营村,107,01,,33,42,,陕西省水文局,,F,
马道,61806200,丹江口以上,汉中市,褒河,3415,雨量流量泥沙,留坝县马道乡马道村,107,00,,33,26,,陕西省水文局,,F,
江西营,61806500,丹江口以上,汉中市,喜神坝河,84.3,雨量流量泥沙,南郑县红茶乡江西营,106,54,,33,51,,陕西省水文局,,F,
三华石(二),61807000,丹江口以上,汉中市,冷水河,578,雨量流量泥沙,南郑县油房乡三华石村,107,01,,33,00,,陕西省水文局,,F,
南沙河,61807300,丹江口以上,汉中市,南沙河,243,雨量流量泥沙,城固县南沙河水库,107,11,,33,59,,陕西省水文局,,F,
升仙村,61808100,丹江口以上,汉中市,胥水河,2143,雨量流量泥沙,城固县枯园乡升仙村,107,16,,33,16,,陕西省水文局,,F,
长滩村,61808600,丹江口以上,汉中市,溢水河,237,雨量流量泥沙,洋县诸葛乡长滩村,107,26,,33,16,,陕西省水文局,,F,
酉水街(二),61809100,丹江口以上,汉中市,酉水河,911,雨量流量泥沙,洋县酉水乡八亩田村,107,46,,33,17,,陕西省水文局,,F,
两河口,61809200,丹江口以上,安康市,子午河,2816,雨量流量泥沙,石泉县两河乡腰道河村,108,04,,33,16,,陕西省水文局,,F,
西乡,61809500,丹江口以上,汉中市,牧马河,1224,雨量流量泥沙,西乡县城关镇西门外,107,45,,32,59,,陕西省水文局,,F,
大竹河,61810000,丹江口以上,达州市,任河,2651,雨量流量,四川省万源县大竹乡草坝滩,108,18,,32,12,,四川省水文局,,F,
高滩,61810050,丹江口以上,安康市,任河,3588,雨量流量泥沙,紫阳县高滩村,108,20,,32,25,,陕西省水文局,,F,
长枪铺(二),61811000,丹江口以上,安康市,月河,2814,雨量流量泥沙,安康市建民乡长枪铺,108,57,,32,41,,陕西省水文局,,F,
杨家营(二),61811200,丹江口以上,安康市,恒河,931,雨量流量泥沙,安康市恒口镇杨家营,108,48,,32,46,,陕西省水文局,,F,
县河口(三),61811700,丹江口以上,安康市,黄洋河,772,雨量流量泥沙,安康市县河口乡县河口,109,05,,32,38,,陕西省水文局,,F,
桂花园(二),61811900,丹江口以上,安康市,坝河,1283,雨量流量泥沙,旬阳县桂花园乡桂花园,109,20,,32,43,,陕西省水文局,,F,
柴坪(三),61812000,丹江口以上,商洛市,旬河,2370,雨量流量泥沙,镇安县柴坪乡柴坪街,108,58,,33,19,,陕西省水文局,,F,
向家坪,61812100,丹江口以上,安康市,旬河,6448,雨量流量泥沙,旬阳县甘溪乡向家坪,109,17,,32,52,,长江委,,F,
青泥湾(三),61812600,丹江口以上,商洛市,乾佑河,1377,雨量流量泥沙,镇安县城关镇清泥湾,109,10,,33,25,,陕西省水文局,,F,
蜀河,61813000,丹江口以上,安康市,蜀河,581,雨量流量泥沙,旬阳县三官乡宋家湾村,109,41,,32,58,,陕西省水文局,,F,
长沙河,61813200,丹江口以上,十堰市,甲河,5578,雨量流量泥沙,湖北省郧西县长坝乡前坪村,110,00,,32,59,,长江委,,F,
贾家坊,61901000,丹江口以上,十堰市,天河,1281,雨量流量泥沙,湖北省郧西县城关镇天河坪村,110,25,,32,58,,湖北省水文局,,F,
新洲,61903700,丹江口以上,十堰市,泗河,4660,雨量流量泥沙,湖北省竹溪县新洲乡鲁台村,110,00,,32,10,,湖北省水文局,,F,
丹凤(二),62001200,丹江口以上,商洛市,丹江,2766,雨量流量泥沙,丹凤县龙驹镇西关,110,19,,33,42,,陕西省水文局,,F,
荆紫关(二),62001700,丹江口以上,南阳市,丹江,7060,雨量流量,河南省淅川县荆紫关乡汉王坪村,111,00,,33,16,,陕西省水文局,,F,
板桥,62003000,丹江口以上,商洛市,板桥河,493,雨量流量泥沙,商县板桥乡两岔河,109,57,,33,58,,陕西省水文局,,F,
竹林关(二),62004600,丹江口以上,商洛市,银花河,951,雨量流量泥沙,丹凤县张垣乡庙底村,110,24,,33,28,,陕西省水文局,,F,
武关,62005200,丹江口以上,商洛市,武关河,1025,雨量流量泥沙,丹凤县武关乡西河岸村,110,37,,33,36,,陕西省水文局,,F,
西坪(三),62006200,丹江口以上,南阳市,淇河,911,雨量,河南省西峡县西坪乡尚庄村,110,04,,33,26,,河南省水文局,,F,
江湾,62007200,丹江口以上,十堰市,丹江,781,雨量流量,湖北省郧县江湾乡江湾,110,58,,33,03,,湖北省水文局,,F,
茨坝,60701300,广元昭化以上,陇南地区,嘉陵江,2750,雨量水位流量泥沙,甘肃省两当县西坡乡茨坝,106,25,,33,51,,甘肃省水文水资源勘测局,,F,
谈家庄,60701400,广元昭化以上,陇南地区,秦淮河,6694,雨量水位流量泥沙,甘肃省徽县嘉陵乡谈家庄,106,12,,33,42,,甘肃省水文水资源勘测局,,F,
杨店,60703900,广元昭化以上,陇南地区,红崖河,828,雨量水位流量,甘肃省两当县杨店乡,106,25,,33,56,,甘肃省水文水资源勘测局,,F,
永宁镇,60704100,广元昭化以上,陇南地区,永宁河,2071,蒸发雨量水位流量泥沙,甘肃省徽县永宁乡,106,11,,33,50,,甘肃省水文水资源勘测局,,F,
徽县,60704200,广元昭化以上,陇南地区,罗家河,108,蒸发雨量水位流量泥沙,甘肃省徽县城关镇樊塄村,106,04,,33,47,,甘肃省水文水资源勘测局,,F,
成县,60704300,广元昭化以上,陇南地区,长丰河,1502,蒸发雨量水位流量泥沙,甘肃省成县支旗乡庙湾村,105,45,,33,44,,甘肃省水文水资源勘测局,,F,
镡家坝,60704800,广元昭化以上,陇南地区,西汉水,9538,蒸发雨量水位流量泥沙,甘肃省成县镡家坝乡,105,46,,33,35,,甘肃省水文水资源勘测局,,F,
"红河水库
(下)",60705000,广元昭化以上,陇南地区,红河,173,蒸发雨量水位流量,甘肃省礼县乡石沟,105,26,,34,23,,甘肃省水利厅,,F,
平洛,60705300,广元昭化以上,陇南地区,平洛河,741,蒸发雨量水位流量泥沙,甘肃省康县平洛乡,105,25,,33,33,,甘肃省水文水资源勘测局,,F,
康县,60705400,广元昭化以上,陇南地区,岸门口河,217,雨量水位流量泥沙,甘肃省康县城关乡赵坝村,105,36,,33,20,,甘肃省水文水资源勘测局,,F,
白云,60705800,广元昭化以上,甘南藏族自治州,白龙江,2136,蒸发雨量水位流量,"甘肃省迭部县电尕乡
白云村",103,24,,34,01,,甘肃省水文水资源勘测局,,F,
根古,60705801,广元昭化以上,甘南藏族自治州,白龙江,2115,蒸发雨量水位流量泥沙,"甘肃省迭部县电尕乡
根古村",103,23,,34,01,,甘肃省水文水资源勘测局,,F,
麻亚寺,60706000,广元昭化以上,陇南地区,白龙江,5752,雨量水位流量泥沙,甘肃省迭部县麻牙乡,103,43,,33,57,,甘肃省水文水资源勘测局,,F,
舟曲,60706100,广元昭化以上,甘南藏族自治州,白龙江,8955,蒸发雨量水位流量泥沙,"甘肃省舟曲县江盘乡
白云村",104,22,,33,47,,甘肃省水文水资源勘测局,,F,
武都,60706400,广元昭化以上,陇南地区,白龙江,14288,蒸发雨量水位流量泥沙,甘肃省武都县城关镇,104,55,,33,24,,甘肃省水文水资源勘测局,,F,
碧口,60706700,广元昭化以上,陇南地区,白龙江,26086,蒸发雨量水位流量泥沙,甘肃省文县碧口乡,105,15,,32,45,,甘肃省水文水资源勘测局,,F,
