附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
西川,11020980,尼尔基至江桥,哈尔滨市,阿什河,,降水,黑龙江省阿城市小岭镇西川村,127,12,21,45,14,42,黑龙江省水文局,,A,
旧三,11320060,尼尔基至江桥,齐齐哈尔市,音河,,降水,内蒙古自治区阿荣旗音河乡,123,00,00,48,02,00,黑龙江省水文局,,A,
唯古气,11320050,尼尔基至江桥,齐齐哈尔市,音河,,降水,内蒙古自治区阿荣旗音河乡,122,52,00,48,19,00,黑龙江省水文局,,A,
音河水库,11320080,尼尔基至江桥,齐齐哈尔市,音河,,降水,黑龙江省甘南县音河水库,123,27,00,47,56,00,黑龙江省水文局,,A,
音河水库(坝下),11300054,尼尔基至江桥,齐齐哈尔市,音河,1665,水位、流量,甘南县音河水库,123,28,00,47,57,00,黑龙江省水文局,音河水库,A,
八连,11320680,尼尔基至江桥,呼伦贝尔市,阿木牛河,,降水,扎兰屯市鄂伦春乡八连村,121,55,,48,10,,内蒙古水文总局,,A,
巴林(二),11300211,尼尔基至江桥,呼伦贝尔市,雅鲁河,2807,水位、径流、降水、蒸发,牙克石市巴林镇,122,19,,48,19,,内蒙古水文总局,,A,
博克图,11320640,尼尔基至江桥,呼伦贝尔市,雅鲁河,,降水,牙克石市博克图镇,121,51,,48,46,,内蒙古水文总局,,A,
景星(二),11300281,尼尔基至江桥,齐齐哈尔市,罕达罕河,4104,水位、流量、降水、蒸发,龙江县景星镇,123,01,52,47,01,32,黑龙江省水文局,,A,
昆尼气,11320670,尼尔基至江桥,呼伦贝尔市,阿木牛河,,降水,扎兰屯市鄂伦春乡昆尼气林场,121,42,,48,14,,内蒙古水文总局,,A,
