OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Leizhou Fu,雷州府,雷州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2050,FROM_FD,满志敏,满志敏, ,2002/10/31,110.106890000000007,20.871569999999998,8012.0000000
,Xi'an Fu,西安府,西安府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shaanxi,陕西,0.000000000000000,POLYGON,3680,FROM_FD,满志敏,满志敏, ,2002/06/25,108.554150000000007,34.254640000000002,24358.1992188
,Pingliang Zhou,平凉府,平涼府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0.000000000000000,POLYGON,1851,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,106.187190000000001,36.137239999999998,28718.1992188
,Fengxiang Fu,凤翔府,鳳翔府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shaanxi,陕西,0.000000000000000,POLYGON,1835,FROM_FD,满志敏,满志敏, ,2002/06/25,107.178200000000004,34.388080000000002,15078.9003906
,Jin Zhou,泾州,涇州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0.000000000000000,POLYGON,1850,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,107.299329999999998,35.545189999999998,8003.4399414
,Qingynag Fu,庆阳府,慶陽府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0.000000000000000,POLYGON,1849,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,107.746489999999994,36.223979999999997,21780.8007813
,Yikezhao Meng,伊克昭盟,伊克昭盟, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Nemenggu,内蒙古,0.000000000000000,POLYGON,2101,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.964799999999997,39.331710000000001,111553.0000000
,Jie Zhou,阶州,階州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0.000000000000000,POLYGON,1854,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,104.933470000000000,33.419440000000002,17446.1992188
,Baoning Fu,保宁府,保寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0.000000000000000,POLYGON,1877,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,106.410229999999999,32.021540000000002,33674.6992188
,Hanzhong Fu,汉中府,漢中府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shaanxi,陕西,0.000000000000000,POLYGON,1834,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,107.435850000000002,32.468750000000000,0.2787260
